feature_id,feature_name,keyword,launch_date,date,interest
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-08,0
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-09,0
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-10,0
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-11,0
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-12,0
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-13,0
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-14,0
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-15,0
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-16,0
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-17,0
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-18,0
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-19,0
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-20,0
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-21,0
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-22,5
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-23,21
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-24,39
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-25,13
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-26,7
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-27,15
1,AI DJ,Spotify AI DJ,2023-02-22,2023-02-28,15
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-01,84
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-02,56
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-03,34
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-04,36
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-05,100
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-06,60
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-07,28
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-08,22
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-09,19
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-10,11
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-11,14
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-12,8
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-13,22
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-14,22
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-15,20
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-16,15
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-17,11
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-18,8
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-19,10
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-20,10
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-21,8
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-22,9
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-23,14
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-24,20
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-25,18
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-26,19
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-27,14
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-28,9
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-29,11
1,AI DJ,Spotify AI DJ,2023-02-22,2023-03-30,10
