feature_id,feature_name,company,feature_type,launch_date,peak_date,days_to_peak,peak_interest,week_4_interest,week_8_interest,decay_rate_w4,decay_rate_w8,classification
13,Background Play,Unknown,Unknown,2014-11-12,2015-04-11,150,100,49.42857142857143,35.285714285714285,0.5057142857142857,0.6471428571428572,mixed
8,Extra Member,Unknown,Unknown,2023-02-01,2023-06-07,126,100,46.0,,0.54,,mixed
11,Downloads Feature Update,Unknown,Unknown,2021-11-03,2022-01-22,80,100,33.0,47.857142857142854,0.67,0.5214285714285715,mixed
14,Offline Downloads,Unknown,Unknown,2014-11-12,2014-12-25,43,100,32.857142857142854,34.714285714285715,0.6714285714285714,0.6528571428571428,mixed
36,Unlimited DVR,Unknown,Unknown,2019-06-01,2019-08-25,85,100,31.714285714285715,32.0,0.6828571428571428,0.68,mixed
4,Audiobooks,Unknown,Unknown,2023-09-13,2023-11-09,57,100,26.0,23.857142857142858,0.74,0.7614285714285713,novelty
10,Games,Unknown,Unknown,2021-11-02,2021-11-03,1,100,23.714285714285715,22.0,0.7628571428571428,0.78,novelty
32,Watch Party,Unknown,Unknown,2020-05-14,2020-05-29,15,100,23.571428571428573,18.142857142857142,0.7642857142857143,0.8185714285714286,novelty
19,Strength Training,Unknown,Unknown,2021-08-01,2021-12-15,136,100,18.0,8.428571428571429,0.82,0.9157142857142857,novelty
9,Ad-Supported Tier,Unknown,Unknown,2022-11-03,2022-11-03,0,100,17.928571428571427,30.285714285714285,0.8207142857142857,0.6971428571428572,novelty
44,Sing Feature,Unknown,Unknown,2022-12-13,2022-12-14,1,100,12.142857142857142,1.7142857142857142,0.8785714285714286,0.9828571428571429,novelty
35,Price Increase,Unknown,Unknown,2023-03-16,2023-03-17,1,100,11.714285714285714,10.428571428571429,0.8828571428571429,0.8957142857142857,novelty
29,ESPN Integration,Unknown,Unknown,2024-12-04,2025-01-01,28,100,11.285714285714286,13.0,0.8871428571428571,0.87,novelty
1,AI DJ,Unknown,Unknown,2023-02-22,2023-03-05,11,100,11.142857142857142,2.7142857142857144,0.8885714285714286,0.9728571428571429,novelty
34,Multiview,Unknown,Unknown,2023-10-01,2023-09-17,-14,100,10.0,4.428571428571429,0.9,0.9557142857142857,novelty
43,Lossless Audio,Unknown,Unknown,2021-06-07,2021-06-08,1,100,9.428571428571429,2.2857142857142856,0.9057142857142857,0.9771428571428571,novelty
2,AI Playlist,Unknown,Unknown,2024-04-07,2024-08-28,143,100,8.0,5.285714285714286,0.92,0.9471428571428571,novelty
28,Star Content Hub,Unknown,Unknown,2021-02-23,2021-03-01,6,100,7.857142857142857,11.142857142857142,0.9214285714285714,0.8885714285714286,novelty
6,Password Sharing Crackdown,Unknown,Unknown,2023-05-23,2023-05-24,1,100,6.714285714285714,3.857142857142857,0.9328571428571429,0.9614285714285714,novelty
5,Daylist,Unknown,Unknown,2023-09-12,2024-01-17,127,100,2.0,,0.98,,novelty
45,Classical App,Unknown,Unknown,2023-03-28,2023-03-28,0,100,2.0,1.5714285714285714,0.98,0.9842857142857143,novelty
27,IMAX Enhanced,Unknown,Unknown,2021-11-12,2021-11-13,1,100,1.5714285714285714,10.285714285714286,0.9842857142857143,0.8971428571428571,novelty
22,Rowing Classes,Unknown,Unknown,2022-09-15,2022-09-21,6,100,1.1428571428571428,5.571428571428571,0.9885714285714287,0.9442857142857143,novelty
42,Download to Watch Offline,Unknown,Unknown,2023-06-20,2023-07-17,27,100,0.0,0.0,1.0,1.0,novelty
31,Live TV Cloud DVR,Unknown,Unknown,2023-04-15,2023-09-09,147,100,0.0,8.428571428571429,1.0,0.9157142857142857,novelty
30,Premium Plus Tier,Unknown,Unknown,2023-10-12,2023-12-26,75,100,0.0,0.0,1.0,1.0,novelty
21,Running Content,Unknown,Unknown,2023-02-23,2023-07-05,132,100,0.0,,1.0,,novelty
25,Downloads Offline,Unknown,Unknown,2019-11-12,2019-11-13,1,100,0.0,0.0,1.0,1.0,novelty
24,GroupWatch,Unknown,Unknown,2020-09-29,2020-12-26,88,100,0.0,0.0,1.0,1.0,novelty
47,Grok AI,Unknown,Unknown,2023-12-07,2024-02-03,58,100,0.0,0.0,1.0,1.0,novelty
18,App-Only Membership,Unknown,Unknown,2015-10-28,2016-02-17,112,100,0.0,,1.0,,novelty
16,Queue Management,Unknown,Unknown,2023-03-15,2023-05-11,57,100,0.0,0.0,1.0,1.0,novelty
15,Premium Lite,Unknown,Unknown,2021-06-08,2021-10-22,136,100,0.0,0.0,1.0,1.0,novelty
12,Spatial Audio,Unknown,Unknown,2022-07-07,2022-07-10,3,100,0.0,0.0,1.0,1.0,novelty
7,Profile Transfer,Unknown,Unknown,2022-10-17,2022-10-25,8,100,0.0,0.0,1.0,1.0,novelty
3,Wrapped AI Podcast,Unknown,Unknown,2024-12-04,2024-12-05,1,100,0.0,0.0,1.0,1.0,novelty
26,Parental Controls Update,Unknown,Unknown,2021-03-26,2021-05-01,36,100,0.0,0.0,1.0,1.0,novelty
49,Premium Price Increase,Unknown,Unknown,2023-07-24,2023-07-25,1,100,0.0,0.8571428571428571,1.0,0.9914285714285714,novelty
